Prest.,Vento,Atleta,Anno,Società,Città,Data
14.24,-1.2,COMIOTTO Giada,06,ANA ATL.FELTRE,Padova,14/05/2022
14.26,-1.3,COMIOTTO Giada,06,ANA ATL.FELTRE,Vittorio Veneto,28/05/2022
14.28,-1.1,APPOCHER Vittoria,06,ANA ATL.FELTRE,Verona,07/05/2022
14.35,-1.2,DE BARBA Elena,04,ANA ATL.FELTRE,Padova,14/05/2022
14.40,-1.8,COMIOTTO Giada,06,ANA ATL.FELTRE,Caorle,21/05/2022
14.48,+0.8,DE RIZ Chiara,05,ANA ATL.FELTRE,Verona,02/06/2022
14.48,+0.6,DE RIZ Chiara,05,ANA ATL.FELTRE,Feltre,25/06/2022
14.50,+2.0,DE RIZ Chiara,05,ANA ATL.FELTRE,Padova,01/05/2022
14.55,+1.1,DE RIZ Chiara,05,ANA ATL.FELTRE,Modena,25/04/2022
14.61,-1.6,MOINO Eleonora,06,ANA ATL.FELTRE,Vittorio Veneto,28/05/2022
14.71,-1.8,MOINO Eleonora,06,ANA ATL.FELTRE,Caorle,21/05/2022
14.73,-1.3,DE RIZ Chiara,05,ANA ATL.FELTRE,Caorle,21/05/2022
13.61,+0.9,BARP Anna asia,04,ANA ATL.FELTRE,Feltre,01/07/2023
13.67,+2.7,SPADA Anna,07,ANA ATL.FELTRE,Borgo Valbelluna,06/05/2023
13.70,+0.8,ANDREOLI Vittoria,07,ANA ATL.FELTRE,Feltre,01/07/2023
13.74,+0.3,SPADA Anna,07,ANA ATL.FELTRE,Verona,02/06/2023
13.77,+0.8,SPADA Anna,07,ANA ATL.FELTRE,Feltre,01/07/2023
13.78,-0.2,ANDREOLI Vittoria,07,ANA ATL.FELTRE,Caorle,27/05/2023
13.84,+0.3,COMIOTTO Giada,06,ANA ATL.FELTRE,Borgo Valbelluna,06/05/2023
13.94,+0.1,DAVID Giovanna,07,ANA ATL.FELTRE,Borgo Valbelluna,06/05/2023
14.09,-0.3,COMIOTTO Giada,06,ANA ATL.FELTRE,Bolzano,03/06/2023
14.16,-2.0,SPADA Anna,07,ANA ATL.FELTRE,San Biagio Di Callalta,29/04/2023
14.61,-1.6,COMIOTTO Giada,06,ANA ATL.FELTRE,Padova,01/05/2023
14.83,-1.9,FELTRIN Gioia,02,ANA ATL.FELTRE,Padova,13/05/2023
13.36,+0.0,DAL PONT Rossella,88,ANA ATL.FELTRE,Cortina D Ampezzo,19/08/2005
13.49,-0.2,DAL PONT Rossella,88,ANA ATL.FELTRE,Conegliano,25/04/2005
13.3,+0.0,DAL PONT Rossella,88,ANA ATL.FELTRE,Belluno,23/04/2005
13.54,+0.0,DAL PONT Rossella,88,ANA ATL.FELTRE,Padova,01/05/2005
13.4,+0.0,DAL PONT Rossella,88,ANA ATL.FELTRE,Longarone,22/06/2005
13.4,+0.0,DAL PONT Rossella,88,ANA ATL.FELTRE,Feltre,28/08/2005
11.80,+2.8,DALLO Francesca,90,ANA ATL.FELTRE,Tunisi,05/08/2006
11.98,+0.2,DALLO Francesca,90,ANA ATL.FELTRE,Lignano Sabbiadoro,28/09/2006
12.05,+1.9,DALLO Francesca,90,ANA ATL.FELTRE,Lignano Sabbiadoro,27/09/2006
12.13,-0.1,DALLO Francesca,90,ANA ATL.FELTRE,Fano,07/10/2006
12.14,+0.4,DALLO Francesca,90,ANA ATL.FELTRE,Vicenza,27/05/2006
11.9,+0.6,DALLO Francesca,90,ANA ATL.FELTRE,Mestre Venezia,16/09/2006
12.17,-1.1,DALLO Francesca,90,ANA ATL.FELTRE,Fano,07/10/2006
12.18,+0.0,DALLO Francesca,90,ANA ATL.FELTRE,Tezze Sul Brenta,07/06/2006
12.40,-1.0,DALLO Francesca,90,ANA ATL.FELTRE,Vittorio Veneto,13/05/2006
12.42,-1.0,DALLO Francesca,90,ANA ATL.FELTRE,Conegliano,25/04/2006
12.65,-3.1,DALLO Francesca,90,ANA ATL.FELTRE,Lignano Sabbiadoro,26/09/2006
12.9,+0.0,DAL PONT Rossella,88,ANA ATL.FELTRE,Belluno,21/06/2006
12.23,+3.4,DALLO Francesca,90,ANA ATL.FELTRE,Cesenatico,06/10/2007
12.33,+0.6,DALLO Francesca,90,ANA ATL.FELTRE,Belgrado,23/07/2007
12.34,+0.9,DALLO Francesca,90,ANA ATL.FELTRE,Vicenza,12/05/2007
12.42,+1.2,DALLO Francesca,90,ANA ATL.FELTRE,Belgrado,23/07/2007
12.42,-0.6,DALLO Francesca,90,ANA ATL.FELTRE,Cesenatico,06/10/2007
12.48,-0.9,DALLO Francesca,90,ANA ATL.FELTRE,Vicenza,15/09/2007
13.01,-4.3,DALLO Francesca,90,ANA ATL.FELTRE,Pergine,07/07/2007
14.5,,GALLON Valentina,91,ANA ATL.FELTRE,Belluno,29/08/2007
13.92,-0.1,DE BASTIANI Silvia,92,ANA ATL.FELTRE,Piombino Dese,05/06/2008
13.96,-1.2,DE BASTIANI Silvia,92,ANA ATL.FELTRE,Abano Terme,24/05/2008
13.0,,FACCHIN Alessia,93,ANA ATL.FELTRE,Feltre,20/06/2009
13.1,,BERNARD Elisa,92,ANA ATL.FELTRE,Feltre,20/06/2009
13.5,,ZAETTA Chiara,92,ANA ATL.FELTRE,Feltre,26/08/2009
13.98,-1.0,BERNARD Elisa,92,ANA ATL.FELTRE,Rosa,23/05/2009
14.01,-0.2,BERNARD Elisa,92,ANA ATL.FELTRE,Conegliano,15/07/2009
13.8,,FACCHIN Alessia,93,ANA ATL.FELTRE,Feltre,26/08/2009
13.9,,BERNARD Elisa,92,ANA ATL.FELTRE,Feltre,26/08/2009
14.64,-1.0,ZATTA Alessia,93,ANA ATL.FELTRE,Rosa,23/05/2009
13.72,+0.4,ZAETTA Chiara,92,ANA ATL.FELTRE,Feltre,19/06/2010
13.91,,FONTANA Stefania,94,ANA ATL.FELTRE,Borgo Valsugana,23/05/2010
13.96,+0.6,FACCHIN Alessia,93,ANA ATL.FELTRE,Feltre,26/05/2010
14.04,+0.0,FACCHIN Alessia,93,ANA ATL.FELTRE,Feltre,26/05/2010
14.32,,POLIZZI Giuliana,94,ANA ATL.FELTRE,Borgo Valsugana,23/05/2010
14.2,,FACCHIN Alessia,93,ANA ATL.FELTRE,Belluno,10/04/2010
14.47,+0.6,POLIZZI Giuliana,94,ANA ATL.FELTRE,Feltre,26/05/2010
14.51,-0.9,DE MARCHI Veronica,94,ANA ATL.FELTRE,Mestre,08/05/2010
14.52,-0.5,POLIZZI Giuliana,94,ANA ATL.FELTRE,Verona,02/06/2010
14.3,,FONTANA Stefania,94,ANA ATL.FELTRE,Belluno,10/04/2010
14.59,+0.0,POLIZZI Giuliana,94,ANA ATL.FELTRE,Feltre,26/05/2010
14.60,-0.5,ZATTA Alessia,93,ANA ATL.FELTRE,Verona,02/06/2010
14.96,+0.0,POLIZZI Giuliana,94,ANA ATL.FELTRE,Rossano Veneto,05/09/2010
15.00,-0.3,POLIZZI Giuliana,94,ANA ATL.FELTRE,Mogliano Veneto,18/09/2010
15.0,,DE MARCHI Veronica,94,ANA ATL.FELTRE,Belluno,10/04/2010
